SplitIndex,Left_Child,Right_Child,SplitEntropy,Counter
"[1.0815760236756207, 1.0405268873227713]","['Agriculture', 'Labor']","['Crafts', 'Missing', 'Professional', 'Sales', 'Service']",1.074203599,2
"[1.0405268873227713, 1.0815760236756207]","['Crafts', 'Missing', 'Professional', 'Sales', 'Service']","['Agriculture', 'Labor']",1.074203599,5
"[1.0552276269317562, 1.0846330429881488]","['Agriculture', 'Professional', 'Sales']","['Crafts', 'Labor', 'Missing', 'Service']",1.074205882,3
"[1.0846330429881488, 1.0552276269317562]","['Crafts', 'Labor', 'Missing', 'Service']","['Agriculture', 'Professional', 'Sales']",1.074205882,4
"[1.067836320199731, 1.0927177278350615]","['Agriculture', 'Crafts', 'Service']","['Labor', 'Missing', 'Professional', 'Sales']",1.074225866,3
"[1.0927177278350615, 1.067836320199731]","['Labor', 'Missing', 'Professional', 'Sales']","['Agriculture', 'Crafts', 'Service']",1.074225866,4
"[1.08232263798382, 1.0593528409154878]","['Crafts', 'Labor', 'Service']","['Agriculture', 'Missing', 'Professional', 'Sales']",1.074246457,3
"[1.0593528409154878, 1.08232263798382]","['Agriculture', 'Missing', 'Professional', 'Sales']","['Crafts', 'Labor', 'Service']",1.074246457,4
"[1.0869271931118374, 1.069827265560206]","['Labor', 'Professional', 'Sales']","['Agriculture', 'Crafts', 'Missing', 'Service']",1.074269827,3
"[1.069827265560206, 1.0869271931118374]","['Agriculture', 'Crafts', 'Missing', 'Service']","['Labor', 'Professional', 'Sales']",1.074269827,4
"[1.0723009830941819, 1.1194267388242052]",['Agriculture'],"['Crafts', 'Labor', 'Missing', 'Professional', 'Sales', 'Service']",1.074299115,1
"[1.1194267388242052, 1.0723009830941819]","['Crafts', 'Labor', 'Missing', 'Professional', 'Sales', 'Service']",['Agriculture'],1.074299115,6
"[1.0811365804806505, 1.0410218302426482]","['Agriculture', 'Missing', 'Service']","['Crafts', 'Labor', 'Professional', 'Sales']",1.074341142,3
"[1.0410218302426482, 1.0811365804806505]","['Crafts', 'Labor', 'Professional', 'Sales']","['Agriculture', 'Missing', 'Service']",1.074341142,4
"[1.0738491304787368, 1.0848976516491609]","['Agriculture', 'Missing']","['Crafts', 'Labor', 'Professional', 'Sales', 'Service']",1.074350733,2
"[1.0848976516491609, 1.0738491304787368]","['Crafts', 'Labor', 'Professional', 'Sales', 'Service']","['Agriculture', 'Missing']",1.074350733,5
"[1.0628364325882558, 1.0819741455142986]","['Professional', 'Sales']","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Service']",1.074376473,2
"[1.0819741455142986, 1.0628364325882558]","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Service']","['Professional', 'Sales']",1.074376473,5
"[1.079346323707148, 1.0496159707696378]","['Agriculture', 'Service']","['Crafts', 'Labor', 'Missing', 'Professional', 'Sales']",1.074399193,2
"[1.0496159707696378, 1.079346323707148]","['Crafts', 'Labor', 'Missing', 'Professional', 'Sales']","['Agriculture', 'Service']",1.074399193,5
"[1.0665485706655906, 1.0795077429354574]","['Missing', 'Professional', 'Sales']","['Agriculture', 'Crafts', 'Labor', 'Service']",1.074401829,3
"[1.0795077429354574, 1.0665485706655906]","['Agriculture', 'Crafts', 'Labor', 'Service']","['Missing', 'Professional', 'Sales']",1.074401829,4
"[1.0732011608648113, 1.0787178435864888]","['Crafts', 'Labor']","['Agriculture', 'Missing', 'Professional', 'Sales', 'Service']",1.074456758,2
"[1.0787178435864888, 1.0732011608648113]","['Agriculture', 'Missing', 'Professional', 'Sales', 'Service']","['Crafts', 'Labor']",1.074456758,5
"[1.0702661113667726, 1.085804291396592]","['Agriculture', 'Crafts', 'Labor']","['Missing', 'Professional', 'Sales', 'Service']",1.07446142,3
"[1.085804291396592, 1.0702661113667726]","['Missing', 'Professional', 'Sales', 'Service']","['Agriculture', 'Crafts', 'Labor']",1.07446142,4
"[1.075124192156846, 1.072250544494806]","['Crafts', 'Labor', 'Missing']","['Agriculture', 'Professional', 'Sales', 'Service']",1.074461529,3
"[1.072250544494806, 1.075124192156846]","['Agriculture', 'Professional', 'Sales', 'Service']","['Crafts', 'Labor', 'Missing']",1.074461529,4
"[1.0803059719032344, 1.0722954900062025]","['Professional', 'Sales', 'Service']","['Agriculture', 'Crafts', 'Labor', 'Missing']",1.074482352,3
"[1.0722954900062025, 1.0803059719032344]","['Agriculture', 'Crafts', 'Labor', 'Missing']","['Professional', 'Sales', 'Service']",1.074482352,4
